"Имя","Категория","Количество","Материал","Материал.Имя","Материал.Плотность","Материал.Теплопроводность","Материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Полная масса","Полная площадь","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Тип объекта","Толщина слоя","Уникальный идентификатор","Уровень","Чистая масса","Чистая площадь","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","15554.8092036","450.0000000","48297.6825771","","46.6644276","46.6644276","46.6644276","20.9989924","Слой","450.0000000","9731d5db-5da4-8a89-1434-5fe51c9b71d9","1","43826.4825771","","42.3444276","42.3444276","6.9996641","42.3444276","19.0549924"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14779.6335858","450.0000000","45890.7622840","","44.3389008","44.3389008","44.3389008","19.9525053","Слой","450.0000000","d179fa36-099d-8c3e-224b-cf1c9fda4da0","1","40788.4425059","","42.1339008","37.9457472","6.6508351","38.6207472","17.7341054"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","58867.4285347","450.0000000","182783.3656003","","176.6022856","176.6022856","176.6022856","79.4710285","Слой","450.0000000","5c6122de-411a-8c79-3b4d-95d78303abc1","1","147220.8705421","","149.2422856","137.7879793","26.4903428","137.8072649","64.0090741"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","59092.3426453","450.0000000","183481.7239136","","177.2770279","177.2770279","177.2770279","79.7746626","Слой","450.0000000","d4cff39d-d003-8084-2383-f1217ed137b4","1","143756.7376562","","138.2084910","140.2478046","26.3890542","139.5728046","62.5029294"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","423056.2065299","919.6874055","","","","183.9374811","Слой","200.0000000","d260b665-341c-d84b-32cc-5c0049748704","1","423056.2065299","919.6874055","","","","","183.9374811"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","15554.8092036","450.0000000","48297.6825771","","46.6644276","46.6644276","46.6644276","20.9989924","Слой","450.0000000","84e559b3-3fa0-8808-1fbe-214affe1c2d5","2","43826.4825771","","42.3444276","42.3444276","6.9996641","42.3444276","19.0549924"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","395249.0810011","859.2371326","","","","171.8474265","Слой","200.0000000","4b2a0f24-2db8-d774-3e16-ee414bbd2202","2","395249.0810011","859.2371326","","","","","171.8474265"
"Слой 1 - Изоляция: 10,00 мм","Слой крыши","1","Изоляция","Изоляция","115.0000000","0.0300000","aaf1155e-14cd-4580-a10c-65676a7e3444","","","10.0000000","1098.5437368","955.2554233","","","","9.5525542","Слой","10.0000000","853f2ed6-2822-bca2-0a7f-990a5ca63619","1","1098.5437368","955.2554233","","","","","9.5525542"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","59092.3426453","450.0000000","183481.7239136","","177.2770279","177.2770279","177.2770279","79.7746626","Слой","450.0000000","f0dcbef2-0257-8815-32b7-3e29164f91d6","2","145824.0528125","","141.5678046","141.5678046","26.3890542","140.8928046","63.4017621"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","3397.7682611","200.0000000","2344.4601002","","5.0966524","5.0966524","5.0966524","1.0193305","Слой","200.0000000","07410360-7c42-83ff-3063-e34ae1fa7834","1","2031.8654201","","4.4170987","4.4170987","0.6795537","4.4170987","0.8834197"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","2802.7818805","200.0000000","2002.9194976","","4.3541728","4.3541728","4.3541728","0.8708346","Слой","200.0000000","4b309ad3-932c-8a80-208f-1906637d3f7b","1","1160.2040628","","2.6850501","2.7336164","0.3880281","2.4736164","0.5044365"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","3328.5236633","200.0000000","2296.6813277","","4.9927855","4.9927855","4.9927855","0.9985571","Слой","200.0000000","aaee2a70-9e47-8534-2c79-9486eef9c570","1","1990.4571507","","4.3270808","4.3270808","0.6657047","4.3270808","0.8654162"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","2902.7818805","200.0000000","2002.9194976","","4.3541728","4.3541728","4.3541728","0.8708346","Слой","200.0000000","51232aee-512f-8366-1991-6c7d3c19429d","1","1220.0040628","","2.8150501","2.8636164","0.4080281","2.6036164","0.5304365"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2902.7818805","200.0000000","4005.8389952","","8.7083456","8.7083456","8.7083456","1.7416691","Слой","200.0000000","35733b10-6796-8c55-3347-649e808e4416","1","3326.8594605","","7.2323032","7.2323032","0.4405564","7.2323032","1.4464606"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","3225.0643797","7.0110095","","","","1.4022019","Слой","200.0000000","86a235e7-85ce-d2fb-0a6b-ecd4fae95953","1","3221.0451886","7.0110095","","","","","1.4004544"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","3225.0643797","7.0110095","","","","1.4022019","Слой","200.0000000","55239ec2-d353-d2f2-364e-039ad46c76e8","1","3221.0451886","7.0110095","","","","","1.4004544"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","3225.0643797","7.0110095","","","","1.4022019","Слой","200.0000000","dcd86a35-3087-dbcd-0459-bc093e9c7a7c","1","3221.0451886","7.0110095","","","","","1.4004544"
"Слой 1 - Изоляция: 10,00 мм","Слой крыши","1","Изоляция","Изоляция","115.0000000","0.0300000","aaf1155e-14cd-4580-a10c-65676a7e3444","","","10.0000000","8.5282544","7.4158734","","","","0.0741587","Слой","10.0000000","7fc63408-6bda-b3f3-156a-c3735b32bb62","1","8.5282544","7.4158734","","","","","0.0741587"
"Слой 1 - Изоляция: 10,00 мм","Слой крыши","1","Изоляция","Изоляция","115.0000000","0.0300000","aaf1155e-14cd-4580-a10c-65676a7e3444","","","10.0000000","8.2369201","7.1625392","","","","0.0716254","Слой","10.0000000","cc4266fd-824e-bfba-17a9-4aaf44994414","1","8.2369201","7.1625392","","","","","0.0716254"
"Слой 1 - Изоляция: 10,00 мм","Слой крыши","1","Изоляция","Изоляция","115.0000000","0.0300000","aaf1155e-14cd-4580-a10c-65676a7e3444","","","10.0000000","8.5413916","7.4272971","","","","0.0742730","Слой","10.0000000","bf90600b-5ad4-bfd6-0c60-674d1ad5ee3b","1","8.5413916","7.4272971","","","","","0.0742730"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","5621.8104589","12.2213271","","","","2.4442654","Слой","200.0000000","193d6392-1b0a-d433-264f-6c00a0ae8207","1","5621.8104589","12.2213271","","","","","2.4442654"
"Слой 1 - Бетон: 200,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","200.0000000","5755.5731128","12.5121155","","","","2.5024231","Слой","200.0000000","35551441-0f1c-d224-3023-6d3be936fa26","1","5755.5731128","12.5121155","","","","","2.5024231"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14583.6546388","200.0000000","20125.4434016","","43.7509639","43.7509639","43.7509639","8.7501928","Слой","200.0000000","dbb4fb16-1ab1-8a54-0056-2c20d4a38644","1","18817.2895805","","40.9071513","40.9071513","2.9167309","40.9071513","8.1814303"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14622.0041040","200.0000000","20178.3656635","","43.8660123","43.8660123","43.8660123","8.7732025","Слой","200.0000000","71cbf9fb-d178-8c4e-3640-4dbbdd573d75","1","18866.7718954","","41.0147215","41.0147215","2.9244008","41.0147215","8.2029443"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","9562.0469636","200.0000000","13195.6248098","","28.6861409","28.6861409","28.6861409","5.7372282","Слой","200.0000000","29fc0ba5-65f2-8697-2bf1-504427c7c678","1","11394.9091972","","24.4910417","25.0520417","1.7124094","24.7715417","4.9543083"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6769.0859376","200.0000000","9341.3385938","","20.3072578","20.3072578","20.3072578","4.0614516","Слой","200.0000000","bcfbd9c1-1ff4-8503-1b2e-f1a06132a0ae","1","8594.2715123","","19.0108732","19.0108732","1.3321354","18.4262861","3.7366398"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","9726.6060207","200.0000000","13422.7163086","","29.1798181","29.1798181","29.1798181","5.8359636","Слой","200.0000000","3c77026b-1304-8999-2e9f-54caae3a63cc","1","11607.2397486","","25.5136299","24.9526299","1.7453212","25.2331299","5.0466260"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6869.4501653","200.0000000","9479.8412282","","20.6083505","20.6083505","20.6083505","4.1216701","Слой","200.0000000","9e4cbf5f-0768-8026-1b8c-1525d4f78af7","1","8863.6515483","","19.5493077","18.9883077","1.3738900","19.2688077","3.8537615"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","8055.6548967","200.0000000","11116.8037575","","24.1669647","24.1669647","24.1669647","4.8333929","Слой","200.0000000","7d6df92e-80b9-8742-121f-fef3ac85f93c","1","9032.3684875","","19.6355837","20.1965837","1.3462092","19.6355837","3.9271167"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14575.1600425","200.0000000","20424.2208587","","44.4004801","44.4004801","44.4004801","8.8800960","Слой","200.0000000","82a200bb-492a-8fc8-3f92-2eb50f009d9e","1","17779.8352950","","38.8333239","38.5086417","2.7150320","38.5086417","7.7303632"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14568.1272405","200.0000000","20104.0155918","","43.7043817","43.7043817","43.7043817","8.7408763","Слой","200.0000000","52ecd439-21ad-89d7-3f8b-42c5158810ff","1","17719.2428571","","38.1382043","38.8135969","2.7136254","38.8135969","7.7040186"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14969.8307846","200.0000000","20658.3664828","","44.9094924","44.9094924","44.9094924","8.9818985","Слой","200.0000000","cbca4df3-1413-8541-25af-b509140981f1","1","17794.8936531","","38.3403525","39.5897504","2.7289662","38.3403525","7.7369103"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14639.3184887","200.0000000","20512.7595143","","44.5929555","44.5929555","44.5929555","8.9185911","Слой","200.0000000","d2a6b679-e7fe-88a9-0e73-3e34fbd73171","1","17857.8062758","","39.0132884","38.6746442","2.7278637","38.6746442","7.7642636"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","1302.5177192","200.0000000","898.7372263","","1.9537766","1.9537766","1.9537766","0.3907553","Слой","200.0000000","d31fea4c-4708-8b65-1e37-0e8432b1651a","1","781.9013868","","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
"Слой 1 - Бетон: 100,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2799.0882919","100.0000000","1931.3709214","","8.3972649","8.3972649","8.3972649","0.8397265","Слой","100.0000000","f982338b-25bc-8f39-35a0-af0e82e9e7d2","1","1177.9318115","","5.1214427","5.1214427","0.0699088","5.1214427","0.5121443"
"Слой 1 - Бетон: 50,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1773.8434559","50.0000000","611.9759923","","5.3215304","5.3215304","5.3215304","0.2660765","Слой","50.0000000","00cec020-248b-81b6-089c-17d0d7387969","1","572.1975528","","4.9756309","4.9756309","0.0886922","4.9756309","0.2487815"
"Слой 1 - Бетон: 50,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1772.1158247","50.0000000","628.6299595","","5.4663475","5.4663475","5.4663475","0.2733174","Слой","50.0000000","d1add7b8-0ada-84e0-2f49-ef0e3f86afce","1","571.6402622","","4.9707849","4.9707849","0.0886058","4.9707849","0.2485392"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","1302.5177192","200.0000000","898.7372263","","1.9537766","1.9537766","1.9537766","0.3907553","Слой","200.0000000","d814ee98-25a8-8f89-0e85-9c9471df082e","1","781.9013868","","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
